sample-id	Location	Timepoint	loctime	rep-bin	North-South
#q2:types	categorical	categorical	categorical	categorical	categorical
NH-T0-FIELD-B1	Field	T0	Field-T0	1	control
NH-T0-FIELD-B2	Field	T0	Field-T0	2	control
NH-T0-FIELD-B3	Field	T0	Field-T0	3	control
NH-T0-FIELD-B4	Field	T0	Field-T0	4	control
NH-T0-FIELD-B5	Field	T0	Field-T0	5	control
NH-T0-FL-B1	FL	T0	FL-T0	1	south
NH-T0-FL-B2	FL	T0	FL-T0	2	south
NH-T0-FL-B3	FL	T0	FL-T0	3	south
NH-T0-FL-B4	FL	T0	FL-T0	4	south
NH-T0-FL-B5	FL	T0	FL-T0	5	south
NH-T0-MA-B1	MA	T0	MA-T0	1	south
NH-T0-MA-B2	MA	T0	MA-T0	2	south
NH-T0-MA-B3	MA	T0	MA-T0	3	south
NH-T0-MA-B4	MA	T0	MA-T0	4	south
NH-T0-MA-B5	MA	T0	MA-T0	5	south
NH-T0-ME-B1	ME	T0	ME-T0	1	north
NH-T0-ME-B2	ME	T0	ME-T0	2	north
NH-T0-ME-B3	ME	T0	ME-T0	3	north
NH-T0-ME-B4	ME	T0	ME-T0	4	north
NH-T0-ME-B5	ME	T0	ME-T0	5	north
NH-T0-NH-B1	NH	T0	NH-T0	1	north
NH-T0-NH-B2	NH	T0	NH-T0	2	north
NH-T0-NH-B3	NH	T0	NH-T0	3	north
NH-T0-NH-B4	NH	T0	NH-T0	4	north
NH-T0-NH-B5	NH	T0	NH-T0	5	north
NH-T0-NS-B1	NS	T0	NS-T0	1	north
NH-T0-NS-B2	NS	T0	NS-T0	2	north
NH-T0-NS-B3	NS	T0	NS-T0	3	north
NH-T0-NS-B4	NS	T0	NS-T0	4	north
NH-T0-NS-B5	NS	T0	NS-T0	5	north
NH-T0-SC-B1	SC	T0	SC-T0	1	south
NH-T0-SC-B2	SC	T0	SC-T0	2	south
NH-T0-SC-B3	SC	T0	SC-T0	3	south
NH-T0-SC-B4	SC	T0	SC-T0	4	south
NH-T0-SC-B5	SC	T0	SC-T0	5	south
NH-T14-FIELD-B1	Field	T14	Field-T14	1	control
NH-T14-FIELD-B2	Field	T14	Field-T14	2	control
NH-T14-FIELD-B3	Field	T14	Field-T14	3	control
NH-T14-FIELD-B4	Field	T14	Field-T14	4	control
NH-T14-FIELD-B5	Field	T14	Field-T14	5	control
NH-T14-FL-B1	FL	T14	FL-T14	1	south
NH-T14-FL-B2	FL	T14	FL-T14	2	south
NH-T14-FL-B3	FL	T14	FL-T14	3	south
NH-T14-FL-B4	FL	T14	FL-T14	4	south
NH-T14-FL-B5	FL	T14	FL-T14	5	south
NH-T14-MA-B1	MA	T14	MA-T14	1	south
NH-T14-MA-B2	MA	T14	MA-T14	2	south
NH-T14-MA-B3	MA	T14	MA-T14	3	south
NH-T14-MA-B4	MA	T14	MA-T14	4	south
NH-T14-MA-B5	MA	T14	MA-T14	5	south
NH-T14-ME-B1	ME	T14	ME-T14	1	north
NH-T14-ME-B2	ME	T14	ME-T14	2	north
NH-T14-ME-B3	ME	T14	ME-T14	3	north
NH-T14-ME-B4	ME	T14	ME-T14	4	north
NH-T14-ME-B5	ME	T14	ME-T14	5	north
NH-T14-NH-B1	NH	T14	NH-T14	1	north
NH-T14-NH-B2	NH	T14	NH-T14	2	north
NH-T14-NH-B3	NH	T14	NH-T14	3	north
NH-T14-NH-B4	NH	T14	NH-T14	4	north
NH-T14-NH-B5	NH	T14	NH-T14	5	north
NH-T14-NS-B1	NS	T14	NS-T14	1	north
NH-T14-NS-B3	NS	T14	NS-T14	2	north
NH-T14-NS-B4	NS	T14	NS-T14	3	north
NH-T14-NS-B5	NS	T14	NS-T14	4	north
NH-T14-NS-E3	NS	T14	NS-T14	5	north
NH-T14-SC-B1	SC	T14	SC-T14	1	south
NH-T14-SC-B3	SC	T14	SC-T14	2	south
NH-T14-SC-B4	SC	T14	SC-T14	3	south
NH-T14-SC-B5	SC	T14	SC-T14	4	south
NH-T14-SC-E3	SC	T14	SC-T14	5	south
Blank-1-meso	blank	blank	blank	ctrl-1	blank
Blank-2-meso	blank	blank	blank	ctrl-2	blank
